"","ï..fide_id","name","federation","gender","title","yob"
"1","2219263","Larios Crespo Manuel","ESP","M","","1964"
"2","42570280","Asad Tabrizi Parsa","IRI","M","","2006"
"3","720453","Bodis Laszlo","HUN","M","","1962"
"4","23718285","Buchta Josef","CZE","M","","2006"
"5","44171145","Erkhov Andrey","RUS","M","","2005"
"6","22756051","Guedes Andre Vieira","BRA","M","","2011"
"7","12533149","Bakhshayeshi Majid","IRI","M","","0"
"8","651077612","Belmahdi Karim","FRA","M","","2008"
"9","34113444","Husak Dmitriy","UKR","M","","2001"
"10","24141364","Galiakhmedov Albert","RUS","M","","1953"
"11","22587632","Kazemizadeh Mojtaba","IRI","M","","1977"
"12","8602255","Gao Fang","CHN","M","","1990"
"13","23714344","Sovany Attila","CZE","M","","1999"
"14","36039373","Stam Bart","FRA","M","","2002"
"15","4424425","Quintero Rangel Edwin","COL","M","","1989"
"16","14570009","Zovko Josipa","CRO","F","","2008"
"17","22713794","Araujo Thiago Henrique de Almeida","BRA","M","","2007"
"18","152064","Allasia Jesus","ARG","M","","2000"
"19","45168768","Vorontsov Andrei","FRA","M","","2010"
"20","5063000","Sushrutha G","IND","M","","1994"
"21","16210034","Raasch Hauke","GER","M","","2006"
"22","45052832","Thirthalli Shefali","IND","F","","2004"
"23","14303396","Van Rensburg Pierre","RSA","M","","1993"
"24","184519","Sala Alejandro","ARG","M","","1961"
"25","44131119","Tlupov Asker","RUS","M","","2001"
"26","13623389","kiladze Luka","GEO","M","","2009"
"27","6707696","Garcia Aristides Enmanuel","ESA","M","","2003"
"28","551046733","De Matos Monteiro Tarquinio","FRA","M","","1965"
"29","1620916","Leitner Renate","AUT","F","","1947"
"30","3436934","Zamora Espinoza Gaston Mateo","CHI","M","","2010"
"31","3908038","Carrasquel Orlando","VEN","M","","0"
"32","20602995","Leveque Laurent","FRA","M","","1988"
"33","2238071","Julian Ortin Raquel","ESP","F","","1996"
"34","25882376","Sarafis Rafail","GRE","M","","2010"
"35","34561722","Calisir Ferhat","TUR","M","","1975"
"36","4610903","Laux Tino Dr.","GER","M","FM","1970"
"37","25620410","Walunj Shruti","IND","F","","2002"
"38","12963828","Abele Klaus Dr.","GER","M","","1962"
"39","25031880","Rounak Bhattacharya","IND","M","","1995"
"40","1163094","Mankowski Sebastian","POL","M","","1994"
"41","34370633","Ratenkova Kseniya S","RUS","F","","2010"
"42","12308196","Lama Shyam","NEP","M","","0"
"43","2016842","Bayati Arkia","USA","M","","1959"
"44","34209549","Ryzhakov Bogdan","RUS","M","","2008"
"45","54141389","Frolov Nikita","RUS","M","","2001"
"46","34398457","Koshkarev Dmitry","RUS","M","","2008"
"47","54519977","Garcia Vazquez Alejandro","ESP","M","","1993"
"48","5053323","Shashwat Shivam","IND","M","","1995"
"49","1211951","Bulgaru Constantin","ROU","M","","1961"
"50","325619","Dostal Pavel","CZE","M","","1975"
"51","34559760","Ciblakbas Sertan","TUR","M","","1997"
"52","32721838","Bastami Hilia","IRI","M","","2009"
"53","22259406","Garcia Araez Juan Antonio","ESP","M","","1969"
"54","25060953","Sangita Saha","IND","F","","1991"
"55","209619","Pitropakis Kyriakos","BEL","M","","1950"
"56","16245466","Zander Hans-Joerg Dr.","GER","M","","1969"
"57","12510955","Mehdizadeh Reza","IRI","M","","0"
"58","13012770","Thu Rein Tun","MYA","M","","2000"
"59","12845043","Kamarauskas Ricardas","LTU","M","","1998"
"60","13903217","Cauia Liviu","MDA","M","","1991"
"61","54562546","Ferrando Garcia  German","ESP","M","","1969"
"62","1428209","Johannsen Kaj","DEN","M","","1959"
"63","404730","Davey Mark","ENG","M","","1976"
"64","16224426","Hanak Matthias","GER","M","","1995"
"65","3430693","Casilla Munoz Marco Antonio","CHI","M","","1978"
"66","10252096","Yashin Khan Shuvo","BAN","M","","2005"
