"","number","game","release_date","price","owners","developer","publisher","average_playtime","median_playtime","metascore"
"1","499","Little Triangle","Jan 20 2017","11.99","0 .. 20000","CottonGame","Dreamoji","0","0","98"
"2","5052","DEEP SPACE WAIFU: NEKOMIMI","Dec 18 2018","1.99","0 .. 20000","Neko Climax Studios","Neko Climax Studios","0","0","98"
"3","1973","Meltys Quest","Oct 24 2017","19.99","20000 .. 50000","Remtairy Happy Life","Remtairy Kagura Games","0","0","97"
"4","1","Half-Life 2","Nov 16 2004","9.99","10000000 .. 20000000","Valve","Valve","110","66","96"
"5","1","BioShock","Aug 21 2007","19.99","2000000 .. 5000000","2K Boston 2K Australia","2K","0","0","96"
"6","1","Grand Theft Auto V","Apr 14 2015","29.99","10000000 .. 20000000","Rockstar North","Rockstar Games","697","234","96"
"7","1","Portal 2","Apr 18 2011","9.99","10000000 .. 20000000","Valve","Valve","147","154","95"
"8","5744","Deep Space Waifu: FLAT JUSTICE","Dec 7 2017","1.99","50000 .. 100000","Neko Climax Studios","Neko Climax Studios","2","0","95"
"9","1","Sid Meier's Civilization IV","Oct 25 2005","19.99","1000000 .. 2000000","Firaxis Games","2K","0","0","94"
"10","1","The Elder Scrolls IV: Oblivion Game of the Year Edition","Jun 16 2009","14.99","2000000 .. 5000000","Bethesda Game Studios","Bethesda Softworks","397","264","94"
"11","2","The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe","Jun 16 2009","19.99","0 .. 20000","Bethesda Game Studios®","Bethesda Softworks","0","0","94"
"12","1","Mass Effect 2","Jan 26 2010","19.99","2000000 .. 5000000","BioWare","Electronic Arts","0","0","94"
"13","2","Mass Effect 2 Digital Deluxe Edition","Jan 27 2010","29.99","0 .. 20000","BioWare","Electronic Arts","0","0","94"
"14","3","The Elder Scrolls V: Skyrim","Nov 10 2011","19.99","10000000 .. 20000000","Bethesda Game Studios","Bethesda Softworks","528","567","94"
"15","2","Grand Theft Auto: Vice City","Jan 10 2011","9.99","2000000 .. 5000000","Rockstar Games","Rockstar Games","6","3","94"
"16","1","BioShock Infinite","Mar 25 2013","29.99","2000000 .. 5000000","Irrational Games Virtual Programming (Linux)","2K","75","25","94"
"17","2","Divinity: Original Sin - Enhanced Edition","Oct 27 2015","39.99","1000000 .. 2000000","Larian Studios","Larian Studios","0","0","94"
"18","2930","Kara no Shojo","Oct 22 2018","34.99","0 .. 20000","Innocent Grey","MangaGamer","0","0","94"
"19","2","Unreal Tournament 2004: Editor's Choice Edition","Mar 16 2004","14.99","500000 .. 1000000","Epic Games Inc.","Epic Games Inc.","0","0","93"
"20","2","Grand Theft Auto: San Andreas","Jun 6 2005","14.99","2000000 .. 5000000","Rockstar Games","Rockstar Games","373","236","93"
"21","1","Company of Heroes","Sep 11 2006","19.99","500000 .. 1000000","Relic Entertainment","SEGA","0","0","93"
"22","2","Company of Heroes - Legacy Edition","Jul 17 2007","19.99","2000000 .. 5000000","Relic Entertainment","SEGA","0","0","93"
"23","4","Grand Theft Auto III","Jan 6 2011","9.99","2000000 .. 5000000","Rockstar Games","Rockstar Games","0","0","93"
"24","3","The Witcher 3: Wild Hunt","May 18 2015","39.99","5000000 .. 10000000","CD PROJEKT RED","CD PROJEKT RED","609","281","93"
"25","1","Divinity: Original Sin 2 - Definitive Edition","Sep 14 2017","44.99","2000000 .. 5000000","Larian Studios","Larian Studios","717","532","93"
"26","3","Tom Clancy's Splinter Cell Chaos Theory","Mar 29 2005","9.99","200000 .. 500000","Ubisoft Montreal","Ubisoft","0","0","92"
"27","4","Team Fortress 2","Oct 10 2007",NA,"50000000 .. 100000000","Valve","Valve","336","108","92"
"28","3","Call of Duty 4: Modern Warfare","Nov 12 2007","19.99","1000000 .. 2000000","Infinity Ward","Activision","0","0","92"
"29","5","Rome: Total War - Collection","Aug 28 2007","12.99","1000000 .. 2000000","CREATIVE ASSEMBLY","SEGA","349","183","92"
"30","1","Unreal Tournament: Game of the Year Edition","Mar 17 2008","9.99","200000 .. 500000","Epic Games Inc.","Epic Games Inc.","0","0","92"
"31","3","Tom Clancy's Splinter Cell Chaos Theory","Aug 27 2009","9.99","200000 .. 500000","Ubisoft Montreal","Ubisoft","0","0","92"
"32","282","Sam & Max: The Devil’s Playhouse","Apr 15 2010","19.99","0 .. 20000","Telltale Games","Telltale Games","0","0","92"
